날짜,발전수요량,기온(°C)
2024-06-14,702125.2083333334,25.325
2024-06-15,680672.6666666666,24.84583333333333
2024-06-16,655021.4583333334,25.09583333333333
2024-06-17,689221.125,22.599999999999998
2024-06-18,664996.6666666666,24.691666666666666
2024-06-19,691857.2083333334,24.90833333333333
2024-06-20,709224.25,22.75
2024-06-21,711160.0416666666,24.59583333333333
2024-06-22,715752.75,25.65416666666667
2024-06-23,685415.7916666666,24.954166666666666
2024-06-24,722691.5,25.775000000000002
2024-06-25,709805.625,22.804166666666664
2024-06-26,680650.125,22.933333333333334
2024-06-27,712124.1666666666,22.1125
2024-06-28,712357.5,23.641666666666666
2024-06-29,714647.7916666666,25.087500000000002
2024-06-30,713402.7083333334,26.97083333333333
2024-07-01,747815.7916666666,25.670833333333334
2024-07-02,792332.75,29.454166666666666
2024-07-03,807975.2083333334,29.304166666666664
2024-07-04,808182.3333333334,27.1125
2024-07-05,833459.75,28.766666666666666
2024-07-06,798691.9583333334,30.204166666666666
2024-07-07,805577.1666666666,30.7625
2024-07-08,860022.5833333334,31.120833333333334
2024-07-09,857797.625,30.825
2024-07-10,835914.2916666666,26.712500000000002
2024-07-11,771872.6666666666,24.008333333333336
2024-07-12,749017.0,24.495833333333334
2024-07-13,741659.0416666666,25.208333333333332
2024-07-14,735438.4583333334,26.150000000000002
2024-07-15,791344.9583333334,25.683333333333334
2024-07-16,831995.0833333334,29.579166666666666
2024-07-17,856093.6666666666,30.004166666666666
2024-07-18,879164.9583333334,30.041666666666668
2024-07-19,850200.5416666666,28.020833333333332
2024-07-20,840585.5,30.770833333333332
2024-07-21,837229.2916666666,30.72083333333333
2024-07-22,901864.7083333334,29.6875
2024-07-23,919272.8333333334,29.9375
2024-07-24,932275.0833333334,30.258333333333336
2024-07-25,928009.5833333334,30.5
2024-07-26,893611.4166666666,28.3125
2024-07-27,866102.0833333334,30.21666666666667
2024-07-28,854956.7083333334,30.320833333333336
2024-07-29,915568.1666666666,29.883333333333336
2024-07-30,930073.375,30.454166666666666
2024-07-31,940769.5833333334,29.995833333333334
2024-08-01,959814.2083333334,30.6875
2024-08-02,979059.2083333334,30.895833333333332
2024-08-03,948757.4166666666,31.125
2024-08-04,932613.75,31.1125
2024-08-05,973015.2083333334,30.579166666666666
2024-08-06,960297.2083333334,30.270833333333332
2024-08-07,950467.875,30.2625
2024-08-08,966345.2083333334,30.625
2024-08-09,961483.4166666666,30.604166666666668
2024-08-10,917046.0416666666,30.875
2024-08-11,890461.0416666666,30.954166666666666
2024-08-12,923074.25,30.233333333333334
2024-08-13,915785.75,29.650000000000002
2024-08-14,907368.375,28.712500000000002
2024-08-15,852117.0833333334,28.05652173913043
2024-08-16,872048.25,28.3625
2024-08-17,850581.5416666666,29.21666666666667
2024-08-18,830802.2083333334,29.541666666666668
2024-08-19,914854.7916666666,30.579166666666666
2024-08-20,929178.875,30.325
2024-08-21,930711.6666666666,31.154166666666665
2024-08-22,934510.0,31.104166666666668
2024-08-23,918681.5,30.2
2024-08-24,865699.6666666666,29.620833333333334
2024-08-25,838650.5416666666,29.650000000000002
2024-08-26,896220.875,29.22083333333333
2024-08-27,914454.9583333334,29.337500000000002
2024-08-28,885495.25,28.15833333333333
2024-08-29,870122.4583333334,29.241666666666664
2024-08-30,871143.5416666666,29.629166666666666
2024-08-31,793990.5,28.2375
2024-09-01,774413.375,27.804166666666664
2024-09-02,819209.125,27.933333333333334
2024-09-03,837445.375,28.0125
2024-09-04,836254.9583333334,27.650000000000002
2024-09-05,849985.625,28.6125
2024-09-06,858317.9166666666,29.025000000000002
2024-09-07,824645.2083333334,28.795833333333334
2024-09-08,802489.9583333334,28.370833333333334
2024-09-09,855701.125,28.570833333333336
2024-09-10,886183.5833333334,28.754166666666666
2024-09-11,888720.0,29.133333333333336
2024-09-12,890189.9166666666,30.358333333333334
2024-09-13,873102.6666666666,29.129166666666666
2024-09-14,832416.625,29.179166666666664
2024-09-15,845077.5,29.670833333333334
2024-09-16,837442.0,28.900000000000002
2024-09-17,768829.0,28.2625
2024-09-18,804622.0,29.929166666666664
2024-09-19,877728.125,29.008333333333336
2024-09-20,868008.375,28.441666666666666
2024-09-21,827633.6666666666,27.570833333333336
2024-09-22,719380.7916666666,23.77916666666667
2024-09-23,714973.7916666666,24.2625
2024-09-24,706100.7083333334,23.53333333333333
2024-09-25,738123.1666666666,24.954166666666666
2024-09-26,741064.5416666666,25.52916666666667
2024-09-27,724784.4166666666,25.495833333333334
2024-09-28,697742.25,25.1375
2024-09-29,673088.0,25.004166666666666
2024-09-30,724632.8333333334,24.425
